brand,jenis_mobil,tahun_kendaraan,warna,transmisi,kilometer,mesin_enginecc,bahan_bakar,dirakit,penumpang,pintu,harga
Wuling,Hatchback,2022,Putih,Automatic,12578,0,Electric,Complete Knock Down (CKD),4,3,188000000
Hyundai,Wagon,2023,Abu-abu,Automatic,2500,0,Electric,Complete Knock Down (CKD),5,5,665000000
Hyundai,Wagon,2023,Silver,Automatic,7500,0,Electric,Complete Knock Down (CKD),5,5,695000000
Toyota,Wagon,2023,Putih,Automatic,6000,0,Electric,Complete Built Up (CBU),5,5,890000000
Hyundai,Wagon,2022,Silver,Automatic,12500,0,Electric,Complete Knock Down (CKD),5,5,620000000
Hyundai,Wagon,2023,Abu-abu,Automatic,2500,0,Electric,Complete Knock Down (CKD),5,5,635000000
Porsche,Sedan,2021,Putih,Automatic,7500,0,Electric,Complete Built Up (CBU),4,4,3170000000
Wuling,Hatchback,2022,Putih,Automatic,2500,0,Electric,Complete Knock Down (CKD),4,3,205000000
Wuling,Hatchback,2022,Putih,Automatic,2500,0,Electric,Complete Knock Down (CKD),4,3,209000000
Wuling,Hatchback,2022,Putih,Automatic,2000,0,Electric,Complete Knock Down (CKD),4,3,205000000
Hyundai,Wagon,2023,Silver,Automatic,22500,0,Electric,Complete Knock Down (CKD),5,5,655000000
KIA,Wagon,2023,Putih,Automatic,7500,0,Electric,Complete Built Up (CBU),5,5,875000000
Wuling,Hatchback,2022,Biru,Automatic,17500,0,Electric,Complete Knock Down (CKD),4,3,213000000
Wuling,Hatchback,2022,Biru,Automatic,2500,0,Electric,Complete Knock Down (CKD),4,3,205000000
Hyundai,Wagon,2023,Putih,Automatic,12500,0,Electric,Complete Knock Down (CKD),5,5,690000000
Wuling,Hatchback,2022,Kuning,Automatic,17500,0,Electric,Complete Knock Down (CKD),4,3,235000000
Wuling,Hatchback,2023,Putih,Automatic,2500,0,Electric,Complete Knock Down (CKD),4,3,213000000
Hyundai,Wagon,2021,Abu-abu,Automatic,32500,0,Electric,Complete Built Up (CBU),5,5,385000000
